NG,,,,,,,Defense,,,,,,,,,Damage Negation,,,,,,,,,Resistances,,,,,,,,Incoming Status Damage Multipliers,,,,,,Poise,,,,,"Enemy ""Part"" Damage Multipliers",,,,,,,,,
Location,Name,ID,,Health,dlcClear,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Poison,Scarlet Rot,Bleed,Frost,Sleep,Madness,Deathblight,,Bleed,Frost,Sleep,Madness,HP Burn Effect,,Base,Incoming Mult,Effective,Regen Delay,,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Part 8,Weak Part,Parts Damage Type
Abandoned Cave,Cleanrot Knight (Sickle) [Boss],38001940,,"2,102",-,,109,109,109,109,109,109,109,109,,10,10,35,0,20,-20,0,40,,534,Immune,326,326,237,Immune,Immune,,0.7,0.7,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Abandoned Cave,Cleanrot Knight (Spear) [Boss],38000940,,"2,102",-,,109,109,109,109,109,109,109,109,,10,10,35,0,20,-20,0,40,,534,Immune,326,326,237,Immune,Immune,,0.7,0.7,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Abandoned Cave,Fungal Sorcerer,43858040,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,0,-40,0,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Abandoned Cave,Fungal Sorcerer,43858140,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,0,-40,0,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Abandoned Cave,Fungal Sorcerer,43858240,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,0,-40,0,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Abandoned Cave,Rat,40800040,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-40,-10,-20,-40,-20,-20,,326,326,178,237,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Battlemage,37040020,,"1,427",-,,107,107,107,107,107,107,107,107,,0,10,0,0,40,20,20,0,,176,176,235,235,235,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,0.5,0
Academy Crystal Cave,Crystalian (Spear) [Boss],33501920,,"1,595",-,,107,107,107,107,107,107,107,107,,91,10,93.5,93.5,94,94,94,94,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,1,,70,1,70,5.385,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Crystalian (Spear) [Boss] [Cracked],33501920b,,"1,595",-,,107,107,107,107,107,107,107,107,,10,10,35,35,40,40,40,40,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,1,,70,1,70,5.385,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Crystalian (Staff) [Boss],33502920,,"1,595",-,,107,107,107,107,107,107,107,107,,91,10,93.5,93.5,94,94,94,94,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,1,,70,1,70,5.385,,1,1,1,1,1,1,1,1,1.5,0
